,PLAYER_NAME,Position
234,Sam Merrill,SG
235,Marcus Smart,PG
236,Neemias Queta,C
237,Nikola Jović,PF
238,Jeremy Sochan,PF
239,Talen Horton-Tucker,SG
240,Keon Johnson,SG
241,Jonathan Mogbo,PF
242,Haywood Highsmith,SF
243,Ajay Mitchell,SG
244,Max Christie,SG
245,Malcolm Brogdon,PG
246,Kyle Filipowski,C
247,Devin Vassell,SG
248,Lindy Waters III,SG
249,Donovan Clingan,C
250,Trey Lyles,PF
251,Jamal Shead,PG
252,Quenton Jackson,PG
253,Luke Kennard,SG
254,Kevon Looney,C
255,Kyle Anderson,SF
256,Cole Anthony,PG
257,Nicolas Batum,PF
258,Marcus Sasser,PG
259,Dalen Terry,SG
260,Johnny Juzang,SG
261,Julian Phillips,SF
262,Ben Simmons,PG
263,Tidjane Salaün,PF
264,Josh Okogie,SG
265,Matas Buzelis,SF
266,Shake Milton,SG
267,Jett Howard,SF
268,Seth Curry,SG
269,Gary Payton II,PG
270,Mason Plumlee,C
271,Bogdan Bogdanović,SG
272,Wendell Carter Jr.,C
273,Pelle Larsson,SG
274,Kyle Lowry,PG
275,KJ Martin,PF
276,Joel Embiid,C
277,Kris Murray,SF
278,Reed Sheppard,SG
279,Eric Gordon,SG
280,Isaiah Hartenstein,C
281,Jordan Miller,SF
282,David Roddy,PF
283,Ben Sheppard,SG
284,Trendon Watford,PF
285,Pat Connaughton,SG
286,Blake Wesley,SG
287,Sandro Mamukelashvili,PF
288,Monte Morris,PG
289,Drew Eubanks,C
290,Larry Nance Jr.,PF
291,Dean Wade,PF
292,Jaxson Hayes,C
293,Gary Harris,SG
294,Jaylen Nowell,SG
295,Nick Richards,C
296,Robert Williams,C
297,Jamal Cain,SF
298,Rayan Rupert,SG
299,Alex Caruso,SG
300,Moussa Diabaté,PF
301,Andrew Nembhard,SG
302,Ricky Council IV,SG
303,Antonio Reeves,SG
304,Alec Burks,SG
305,Oso Ighodaro,PF
306,Gabe Vincent,PG
307,Luke Kornet,C
308,De'Anthony Melton,SG
309,Andre Jackson Jr.,SG
310,Kevin Love,PF
311,Dejounte Murray,PG
312,Kristaps Porziņģis,C
313,Daniel Theis,C
314,Jared Butler,SG
315,Ousmane Dieng,SF
316,Keaton Wallace,PG
317,Jock Landale,C
318,Aaron Nesmith,SF
319,Bruno Fernando,C
320,Wendell Moore Jr.,SG
321,Cam Reddish,SF
322,Tyrese Martin,SG
323,Vasilije Micić,PG
324,Kenrich Williams,PF
325,Cody Williams,SG
326,Paul Reed,PF
327,Elfrid Payton,PG
328,Cam Whitmore,SF
329,Mo Bamba,C
330,Immanuel Quickley,PG
331,Jabari Walker,SF
332,Doug McDermott,SF
333,Isaac Jones,PF
334,Tyler Kolek,PG
335,Marvin Bagley III,C
336,Rob Dillingham,PG
337,Aaron Holiday,PG
338,Dillon Jones,SF
339,Craig Porter Jr.,PG
340,Ja'Kobe Walter,SG
341,Delon Wright,PG
342,Isaiah Collier,PG
343,Reggie Jackson,PG
344,Jordan McLaughlin,PG
345,Jericho Sims,C
346,Kobe Bufkin,SG
347,Charles Bassey,C
348,Isaiah Jackson,C
349,Johnny Davis,SG
350,Bones Hyland,PG
351,Trey Jemison,C
352,Dario Šarić,C
353,Tre Jones,PG
354,Johnny Furphy,SG
355,Patty Mills,PG
356,Josh Richardson,SG
357,Torrey Craig,SF
358,Taj Gibson,C
359,Anthony Gill,PF
360,Kai Jones,C
361,Dwight Powell,C
362,Moses Brown,C
363,Thomas Bryant,C
364,Chris Duarte,SG
365,Ryan Rollins,PG
366,Hunter Tyson,PF
367,Jaylon Tyson,SG
368,Herbert Jones,SF
369,Vit Krejci,PG
370,Patrick Baldwin Jr.,SF
371,John Konchar,SG
372,Maxi Kleber,PF
373,Alex Len,C
374,Kel'el Ware,C
375,Steven Adams,C
376,Nick Smith Jr.,SG
377,Lonzo Ball,PG
378,Christian Koloko,C
379,Ausar Thompson,SF
380,DeAndre Jordan,C
381,KJ Simpson,PG
382,Jordan Walsh,PF
383,Kobe Brown,PF
384,Jae Crowder,SF
385,Enrique Freeman,PF
386,Tyler Smith,PF
387,Tristan Thompson,PF
388,Pacome Dadiet,SG
389,MarJon Beauchamp,SF
390,Jevon Carter,PG
391,Jae'Sean Tate,SF
392,Xavier Tillman Sr.,C
393,Jeff Green,PF
394,Jeff Dowtin,PG
395,Olivier-Maxence Prosper,PF
396,Vince Williams Jr.,SG
397,Bol Bol,PF
398,Adem Bona,PF
399,Cory Joseph,PG
400,Damion Lee,SG
401,Zeke Nnaji,PF
402,Micah Potter,C
403,Taylor Hendricks,PF
404,Dru Smith,SG
405,JT Thor,PF
406,E.J. Liddell,PF
407,Svi Mykhailiuk,SF
408,Duop Reath,C
409,Adam Flagler,SG
410,Ariel Hukporti,C
411,Colby Jones,SG
412,Matt Ryan,SF
413,Caleb Houstan,SF
414,Yuki Kawamura,PG
415,Pat Spencer,PG
416,Vlatko Čančar,PF
417,Josh Minott,SF
418,Lester Quiñones,SG
419,Luka Garza,PF
420,Jazian Gortman,PG
421,Jack McVeigh,PF
422,Drew Peterson,PF
423,Luke Travers,SG
424,TyTy Washington Jr.,PG
425,Trey Alexander,SG
426,Orlando Robinson,C
427,Jeenathan Williams,SG
428,Richaun Holmes,PF
429,Taze Moore,SG
430,Adama Sanogo,C
431,Gui Santos,PF
432,Jaden Springer,PG
433,Brandon Williams,PG
434,James Wiseman,C
435,Sidy Cissoko,SF
436,Liam Robbins,C
437,Garrett Temple,SG
438,Alondes Williams,SG
439,Colin Castleton,C
440,PJ Dozier,SG
441,Justin Edwards,SG
442,Jalen Hood-Schifino,SG
443,Bronny James,SG
444,James Johnson,PF
445,Karlo Matković,PF
446,Jared Rhoden,SG
447,Baylor Scheierman,SG
448,Terrence Shannon Jr. ,SG
449,D.J. Carton,SG
450,JD Davison,PG
451,David Duke Jr.,SG
452,Collin Gillespie,PG
453,Jaylen Martin,SF
454,Tristen Newton,SG
455,Trevelin Queen,SG
456,Oscar Tshiebwe,PF
457,Stanley Umude,SG
458,Reece Beekman,PG
459,Branden Carlson,C
460,Ulrich Chomche,PF
461,Mouhamed Gueye,PF
462,PJ Hall,C
463,AJ Johnson,SG
464,Malevy Leons,SF
465,Chris Livingston,SF
466,Markieff Morris,PF
467,Alex Reese,PF
468,Cam Spencer,SG
469,Jacob Toppin,SF
470,Armel Traoré,SF
471,Dominick Barlow,SF
472,Jalen Bridges,SF
473,Cui Yongxi,SG
474,Justin Champagnie,SF
475,Alex Ducas,SG
476,Kessler Edwards,SF
477,Joe Ingles,SF
478,Harrison Ingram,SF
479,Daniss Jenkins,PG
480,Mason Jones,SG
481,Spencer Jones,SF
482,Maxwell Lewis,SF
483,Mac McClung,SG
484,Dariq Whitehead,SF
485,Justin Minaya,SF
486,Riley Minix,SF
487,Jalen Pickett,SG
488,Cole Swider,SF
489,League Average,
